LC Title,From,To
First Law Commission,1955,1958
Second Law Commission,1958,1961
Third Law Commission,1961,1964
Fourth Law Commission,1964,1968
Fifth Law Commission,1968,1971
Sixth Law Commission,1971,1974
Seventh Law Commission,1974,1977
Eighth Law Commission,1977,1979
Ninth Law Commission,1979,1980
Tenth Law Commission,1981,1985
Eleventh Law Commission,1985,1988
Twelfth Law Commission,1988,1991
Thirteenth Law Commission,1991,1994
Fourteenth Law Commission,1995,1997
Fifteenth Law Commission,1997,2000
Sixteenth Law Commission,2000,2003
Seventeenth Law Commission,2003,2006
Eighteenth Law Commission,2006,2009
Nineteenth Law Commission,2009,2012
Twentieth Law Commission,2012,2015
