Name,From,To
Mr. M. C. Setalvad,1955,1958
Mr. Justice T. L. Venkatrama Aiyar,1958,1961
Mr. Justice J. L. Kapur,1961,1964
Mr. Justice J. L. Kapur,1964,1968
Mr. K. V. K. Sundaram,1968,1971
Mr. Justice Dr. P. B. Gajendragadkar,1971,1974
Mr. Justice Dr. P. B. Gajendragadkar,1974,1977
"Mr. Justice H. R. Khanna,",1977,1979
Mr. Justice P. V. Dixit,1979,1980
Mr. Justice K. K. Mathew,1981,1985
Mr. Justice D. A. Desai,1985,1988
Mr. Justice M. P. Thakkar,1988,1991
Mr. Justice K. N. Singh,1991,1994
Mr. Justice K. J. Reddy,1995,1997
Mr. Justice B. P. Jeevan Reddy,1997,2000
Mr. Justice B. P. Jeevan Reddy,2000,2001
Mr. Justice M. Jagannadha Rao,2002,2003
Mr. Justice M. Jagannadha Rao,2003,2006
Dr. Justice AR. Lakshmanan,2007,2009
Mr. Justice P. V. Reddi,2009,2012
Mr. Justice D. K. Jain,2012,2013
Mr. Justice A. P. Shah,2013,2015
Dr. Justice Balbir Singh Chauhan,2015,2018
